Plant Name,Selected Image Filename,Source Split,Original Filename,Image Width,Image Height,Bbox Area Fraction,Other Annotations In Source Image,QA Note
Celosia-Argentea,Celosia_Argentea.jpg,train,Celosia-Argentea43_jpg.rf.f79369edd87e5ed7efd439bbcd6518ff.jpg,640,640,0.607,1,
Centella asiatica,Centella_Asiatica.jpg,train,2023_08_25_16_30_IMG_0931_JPG_jpg.rf.e18e2302d9b921291948cdcc5c66360c.jpg,640,640,0.19,1,
Champa,Champa.jpg,train,17_jpg.rf.db63e506f1ac3235ffcf6a599f470a4b.jpg,640,640,0.243,3,Corrected: original top pick showed unrelated dark berries; swapped to the only other candidate (leaf photo).
Chinese-Ixora,Chinese_Ixora.jpg,valid,Chinese-Ixora48_jpg.rf.3374a699835fc115d4116e85a26ba2f8.jpg,640,640,0.925,1,
Chirata,Chirata.jpg,test,download-2-_jpg.rf.e814a8d8797866aa730ab39bfb4c578a.jpg,640,640,0.755,7,
Chromolaena odorata,Chromolaena_Odorata.jpg,train,2023_09_26_16_40_IMG_2530_JPG_jpg.rf.fbc831c5fdcf10a86ba023fcea6c0c3d.jpg,640,640,0.44,1,
Cinnamon,Cinnamon.jpg,valid,IMG-20231016-WA0241_jpg.rf.840713500e7ab5d2e0b5e348965af751.jpg,640,640,0.605,1,
Cissus quadrangularis,Cissus_Quadrangularis.jpg,train,2023_09_01_14_58_IMG_0498_JPG_jpg.rf.6161c54db3ad5939722481fc1e2f1e76.jpg,640,640,0.375,1,
Clerodendrum infortunatum,Clerodendrum_Infortunatum.jpg,train,2023_06_28_12_32_IMG_7441_JPG_jpg.rf.2aad8ee5d419171cf07d9b02c8a17524.jpg,640,640,0.372,7,
Clitoria ternatea,Clitoria_Ternatea.jpg,train,2023_08_25_16_41_IMG_1047_JPG_jpg.rf.446b45914ddf629c3e303eea518e422c.jpg,640,640,0.105,5,
Coccinia grandis,Coccinia_Grandis.jpg,train,2023_09_01_15_47_IMG_1488_JPG_jpg.rf.3ede1f995190404988275f217a7ea995.jpg,640,640,0.37,1,
Coleus,Coleus.jpg,test,Coleus23_jpg.rf.01a66c4962c44e880b26dee955773351.jpg,640,640,0.984,1,
Common Ivy,Common_Ivy.jpg,train,Hedera-sp-FOM-1204-FOM-leaf_jpeg.rf.a06ad76913fa6d66d8cbe5783e9f1d75.jpg,640,640,0.607,1,
CopperLeaf,CopperLeaf.jpg,valid,Acalypha_indica_W_IMG_4048_jpg.rf.02038e05b0dc5364291dfb105d7cebc5.jpg,640,640,0.197,9,
Coptis,Coptis.jpg,valid,DSC0747-rs-1-_jpg.rf.d6df4ca41fd37faf1077dce7f2ac1835.jpg,640,640,0.591,4,
Curcuma longa,Curcuma_Longa.jpg,test,2023_09_01_15_40_IMG_1368_JPG_jpg.rf.99a92a53079f4e46c6bed961ac9b676c.jpg,640,640,0.577,2,
Cyprus,Cyprus.jpg,test,images-2-_jpg.rf.9af4ce26c0a1f62d398bbb526875955f.jpg,640,640,0.477,1,"DATA QUALITY ISSUE: only 1 unique candidate image exists dataset-wide, showing red star-shaped flowers (resembles Clerodendrum/Ixora), not Cyperus sedge grass. No alternative image available; used as-is."
Datura,Datura.jpg,train,IMG-20231016-WA0356_jpg.rf.a3263ecfee9afe503f5c364d4642efdc.jpg,640,640,0.841,1,
Datura metal linn,Datura_Metal_Linn.jpg,test,2023_06_22_11_15_IMG_5941_JPG_jpg.rf.6a716c406e1c92ea4da714b095aed8ac.jpg,640,640,0.311,6,
Desmodium gangeticum,Desmodium_Gangeticum.jpg,train,2023_09_01_15_56_IMG_1694_JPG_jpg.rf.c1d17ea387eda0e66ae1120097ad05c2.jpg,640,640,0.443,1,
Dill,Dill.jpg,train,Dill33_jpg.rf.576239e5d6388a7bac39a3df58a75ff3.jpg,640,640,1,1,
Fenugreek,Fenugreek.jpg,test,25_jpg.rf.eb27ebd42ed2052839b303bc4d208c82.jpg,640,640,0.337,5,
Gokharu,Gokharu.jpg,valid,6tribulus-terrestris_jpg.rf.847f7e847f5b5ee0d0c9d6ad3b2cc506.jpg,640,640,0.247,5,
Guggul,Guggul.jpg,train,guggulu-tree-tapping-exudate_jpg.rf.dedcb8815a2273ccbf1f9bbef9fcca25.jpg,640,640,0.795,1,
Hemigraphis colorata,Hemigraphis_Colorata.jpg,test,2023_06_23_16_03_IMG_7101_JPG_jpg.rf.ff36581e0653dba11aab808a9e4c212a.jpg,640,640,0.1,10,
Henbane,Henbane.jpg,valid,hyoscyamus-niger-fr-swinterowd_jpg.rf.d445a67cb44b4841cad9df27c2e6ac00.jpg,640,640,0.568,4,
Henna,Henna.jpg,valid,Lawsonia-inermis-Henna_png.rf.fe60e339b01192b5ee5a7faad7a724b5.jpg,640,640,0.674,6,
Horse Nettle Berries,Horse_Nettle_Berries.jpg,valid,horse-nettle-berries-0-168969758_jpg.rf.b8c18cf6da43cac618af248e4da16ab5.jpg,640,640,0.583,3,
Houseleek,Houseleek.jpg,train,41_jpg.rf.736772bf833935cef963aa9e5c3e092a.jpg,640,640,0.553,1,
Indian Birthwort,Indian_Birthwort.jpg,test,images-9-1-_jpeg.rf.41a276db6dac0d653c87e20ab1a3e151.jpg,640,640,0.803,1,
Indian Pulai,Indian_Pulai.jpg,valid,istockphoto-1362857291-612x612_jpg.rf.f5ee5051aec76fb602db7072adf8c73e.jpg,640,640,0.935,4,
Indrajav Seeda,Indrajav_Seeda.jpg,train,IMG-20231016-WA0333_jpg.rf.fa8ac3696859e4e2161dc99aa97d21fb.jpg,640,640,0.6,1,
Ipecac,Ipecac.jpg,valid,IMG-20231016-WA0448_jpg.rf.c1da18785ad50fdfd262e3fd619f08a6.jpg,640,640,0.868,2,
Ivy Leaved Violet,Ivy_Leaved_Violet.jpg,train,78471797-floraison-de-lierre-terrestre-glechoma-hederacea-fleur-bleue-violette-d-une-plante-aromatique-a_jpg.rf.07b2b42d3fa19748ed113a54f2d39ab0.jpg,640,640,0.738,4,
Jamun,Jamun.jpg,train,45_jpg.rf.ba85ab89c33a4c11ef89170eb888081b.jpg,640,640,0.599,1,
Jasmine,Jasmine.jpg,train,4_jpeg.rf.4de692bcf00cf41ac82d2da0970f7858.jpg,640,640,0.503,2,"DATA QUALITY ISSUE: only 1 unique candidate image exists dataset-wide for this label, and it is visually indistinguishable from the Hygrophila auriculata images (purple flower, spiny bracts) -- not genuine jasmine. No alternative image available; used as-is."
Jatamansi,Jatamansi.jpg,test,20_jpg.rf.0d46770099a0e4750b721129aaab639b.jpg,640,640,0.772,1,
Kaempferia galanga linn,Kaempferia_Galanga_Linn.jpg,train,2023_08_25_16_09_IMG_0408_JPG_jpg.rf.3826fd25cebfbafa85bbc25ce55e0314.jpg,640,640,0.389,1,
Kali Musli,Kali_Musli.jpg,train,Curculigo-orchioides-Gaertn-1_jpg.rf.7b479955113a6143fd7ccc0862e00588.jpg,640,640,0.905,5,
Kandankathiri,Kandankathiri.jpg,train,81E03SmPBLL_jpg.rf.7c80e3b9de99b929a07007762f8836bb.jpg,640,640,0.685,7,
Kateri,Kateri.jpg,train,Kateri-Fruit-1_jpg.rf.7164776e0578bb71b201b697715ba7f7.jpg,640,640,0.098,10,
Kirmala,Kirmala.jpg,train,Artemisia_maritima_baie-authie_80_15072007_1_jpg.rf.4ecf9db3501cf7ae4034188431c2a62d.jpg,640,640,0.508,2,
Kokilaksha,Kokilaksha.jpg,train,29_jpg.rf.77664354ca620cd1fa5779200d0bf310.jpg,640,640,0.873,3,
Kutaja,Kutaja.jpg,test,IMG-20231016-WA0230_jpg.rf.82320282135e7b11b37e26654ac6afc6.jpg,640,640,0.081,4,Corrected: original top pick was a text-overlaid product photo; swapped to a genuine plant photo with flowers.
Kutki,Kutki.jpg,test,katuki-picrorhiza-kurroa_jpg.rf.10e3fc21ef004ffa04270432abf46541.jpg,640,640,0.977,7,
Lavender,Lavender.jpg,test,download_jpg.rf.95be9635c56d719ad456dd3966870002.jpg,640,640,0.814,2,"DATA QUALITY ISSUE: only 1 unique candidate image exists dataset-wide, showing a legume/pea-pod plant, not lavender. No alternative image available; used as-is."
Licquorice,Licquorice.jpg,train,istockphoto-950840702-612x612_jpg.rf.2350d296cb16f742ea651a0ae4db5fde.jpg,640,640,0.606,4,
Lipstick-Plant,Lipstick_Plant.jpg,train,Lipstick-Plant30_jpg.rf.5b756f861433e2b4827877c4f1101086.jpg,640,640,0.788,1,
Madhuca Indica,Madhuca_Indica.jpg,train,images-2-_jpg.rf.61da7a2a3a0a3bb45250127d10cb7bbe.jpg,640,640,0.799,6,
Mahua,Mahua.jpg,train,stock-photo-dried-flowers-of-madhuca-indica-or-madhuca-longifolia-produced-by-an-indian-tropical-tree-used-as-1064010149_jpg.rf.5295d717bda51ee86c8c6b6cfe5c2e12.jpg,640,640,0.575,4,
Medicinal-Arive Dantu,Medicinal_Arive_Dantu.jpg,train,Image_97_JPG.rf.4145d6c77f5f68871a14e2cc0526312c.jpg,640,640,0.995,1,
Medicinal-Basale,Medicinal_Basale.jpg,valid,Image_1_jpg.rf.ac2cd365f63e1efff83baaead359b1dc.jpg,640,640,0.999,1,
Medicinal-Neem,Medicinal_Neem.jpg,train,Image_29_jpg.rf.0923dd98592c7e094b3f621c4a5db543.jpg,640,640,1,1,
Medicinal-Rose Apple,Medicinal_Rose_Apple.jpg,train,Image_19_jpg.rf.2662c9ac991d862aa17874fbbb62d6de.jpg,640,640,1,1,
Mentha spicata,Mentha_Spicata.jpg,train,2023_08_25_17_05_IMG_1550_JPG_jpg.rf.00bddc186d23269cee6c7f0a85f4ed0c.jpg,640,640,0.073,5,
Morning Glory,Morning_Glory.jpg,test,images-3-_jpeg.rf.832fb47273b73aaef1607d99f38c7173.jpg,640,640,0.822,2,
Mountain Peanut,Mountain_Peanut.jpg,train,istockphoto-1422504797-612x612_jpg.rf.618ce18731a322eecfdf946346205b54.jpg,640,640,0.786,2,
Mulethi,Mulethi.jpg,valid,1580799046_MulethiPowder_Thumbimage_200x200_jpg.rf.bb2c0b935ce5899bafe514b57248d89c.jpg,640,640,0.97,4,
Nardostachys jatamans,Nardostachys_Jatamans.jpg,train,10_jpg.rf.3336e52f328aacfe9d2ef3475b822eaf.jpg,640,640,0.077,3,
Nepal Yam,Nepal_Yam.jpg,train,7Dioscorea-deltoidea_jpg.rf.5b13f01d4cbea3589313f2310f12597a.jpg,640,640,0.611,2,
Nettle,Nettle.jpg,valid,original-2-_jpeg.rf.6af45551931e18cc33feea3677f5bd0c.jpg,640,640,0.947,1,
Ocimum gratissimum,Ocimum_Gratissimum.jpg,train,2023_06_29_15_35_IMG_7773_JPG_jpg.rf.6ba1e34e2c0672e9da3f3e84760fb25b.jpg,640,640,0.174,2,
Ocimum tenuiflorum,Ocimum_Tenuiflorum.jpg,train,2023_10_02_14_51_IMG_3050_JPG_jpg.rf.4a79c57f6f5102e2d2d96c9daaff4c02.jpg,640,640,0.276,1,
Olive,Olive.jpg,train,27_jpg.rf.2ed35b80ea5f601b8e48c11abd2fe5a0.jpg,640,640,0.049,7,
Oxalis corniculata,Oxalis_Corniculata.jpg,test,2023_06_22_11_44_IMG_6374_JPG_jpg.rf.a3653e113ff02d23f8e36d817cede54e.jpg,640,640,0.075,6,
Palash,Palash.jpg,valid,download_jpeg.rf.2c8dd9c02069492e7d286a1f94851c26.jpg,640,640,0.605,3,
Peperomia pellucida,Peperomia_Pellucida.jpg,valid,2023_09_29_10_09_IMG_2827_JPG_jpg.rf.039fc9689da5c3740bdcf456749dc8b9.jpg,640,640,0.208,1,
Phyllanthus niruri,Phyllanthus_Niruri.jpg,train,2023_08_25_16_50_IMG_1247_JPG_jpg.rf.22a7746938e8ef1e36f86ec5457de26c.jpg,640,640,0.069,5,
Picrorhiza kurroa,Picrorhiza_Kurroa.jpg,train,Picrorhiza-kurroa-8-_jpg.rf.3c3c012b742111024d9f5de9343cfce1.jpg,640,640,0.483,3,
Pine,Pine.jpg,train,5Pinus-roxburghii_jpg.rf.5bc62219dd54a052938c46b243b62e6a.jpg,640,640,0.783,2,
Piper betle,Piper_Betle.jpg,valid,2023_09_01_15_12_IMG_0875_JPG_jpg.rf.82dbe39c162307a7028d62829d430712.jpg,640,640,0.579,1,
Piper longum,Piper_Longum.jpg,train,2023_08_25_15_52_IMG_9999_JPG_jpg.rf.b559aa72bdfa622c1622ec6cc13ab82e.jpg,640,640,0.234,1,
Piper nigrum,Piper_Nigrum.jpg,valid,2023_09_05_12_16_IMG_2279_JPG_jpg.rf.9f4a57d6521e26d0da1219b042ae62b2.jpg,640,640,0.483,1,
Plantago Ovata,Plantago_Ovata.jpg,train,IMG-20231016-WA0107_jpg.rf.58de3ba46bb5f550beb3168acfbe9a36.jpg,640,640,0.827,5,
Plectranthus barbatus,Plectranthus_Barbatus.jpg,train,2023_06_22_11_54_IMG_6575_JPG_jpg.rf.ce7f96a46095b5b67f84c0ab241ebb92.jpg,640,640,0.176,6,
Plumbago indica,Plumbago_Indica.jpg,valid,2023_08_25_16_23_IMG_0786_JPG_jpg.rf.d09ca894aafdea45448683c2cbc8994d.jpg,640,640,0.334,1,
Pseudarthria viscida,Pseudarthria_Viscida.jpg,train,2023_08_25_17_33_IMG_2255_JPG_jpg.rf.292c42251fdf6e09f4dabcfbcf93df21.jpg,640,640,0.258,1,
Puncture Vine,Puncture_Vine.jpg,test,istockphoto-1682460285-612x612_jpg.rf.e81ea70ffc2466737fbb7fcf2be3e01f.jpg,640,640,0.813,9,
Ricinus,Ricinus.jpg,train,31_jpg.rf.ffce3fbd9d833f4f6d58654e0e364432.jpg,640,640,0.819,1,
Ricinus communis linn,Ricinus_Communis_Linn.jpg,test,2023_09_01_15_29_IMG_1013_JPG_jpg.rf.a756347dd95832f3d31798bb092b6d5a.jpg,640,640,0.674,2,
Rosary Pea,Rosary_Pea.jpg,train,abrus-precatorius-beads-194_jpg.rf.5aca1e9015b8abbf94d1127ad9f9f4ec.jpg,640,640,0.601,11,
Sadabahar,Sadabahar.jpg,train,istockphoto-988734110-612x612_jpg.rf.6649cfbd20be8e58c4ebeecadb53e69b.jpg,640,640,0.744,1,
Sadaphuli,Sadaphuli.jpg,valid,istockphoto-527133355-612x612_jpg.rf.6b27f5dbf85ebefa04fb7009eca86feb.jpg,640,640,0.72,1,
Sandalwood,Sandalwood.jpg,train,4sandalwood_jpg.rf.757c54af27101bb7eb75e3a6c0af7fc5.jpg,640,640,0.788,3,
Saussurea Costus,Saussurea_Costus.jpg,train,9759475955_d0c2a0f1ce_b_jpg.rf.623fa094d9f37ec4c5d9f576d400c10e.jpg,640,640,0.68,4,
Serpentine Root,Serpentine_Root.jpg,train,download-2-_jpg.rf.cb062d7b3163902ab51b93581ad762c9.jpg,640,640,0.217,10,
Silverleaf Nightshade,Silverleaf_Nightshade.jpg,valid,images-7-_jpeg.rf.ea400e9930f332cac0e8b7273cba761b.jpg,640,640,0.459,3,
Simpoh-Lak,Simpoh_Lak.jpg,train,Simpoh-Lak35_jpg.rf.d3beab53eae36ffea20adeec975e3cd4.jpg,640,640,0.876,1,
Solanum Incanum,Solanum_Incanum.jpg,train,360_F_593454267_eB2GjJ1jy3NRy5mjXliaOZ4gCvtLr2KP_jpg.rf.272a91695d6ab5266081f38dd2e947e5.jpg,640,640,0.204,2,
Solanum Xanthocarpum,Solanum_Xanthocarpum.jpg,train,Solanum_Xanthocarpum_jpg.rf.38d362683ce948c2db0c6fa7d662dc22.jpg,640,640,0.351,7,
Somavalli,Somavalli.jpg,valid,IMG-20231016-WA0412_jpg.rf.ac70d0823333291e2eff82fc7cfacb6e.jpg,640,640,0.94,3,
Sweet Basil,Sweet_Basil.jpg,train,Sweet-Basil30_jpg.rf.944889c9e21c53a573c8c3c4dbd2484d.jpg,640,640,0.994,1,
Tamarind,Tamarind.jpg,train,18_jpg.rf.a573251fa8c1dfc87207601a3d335cac.jpg,640,640,0.7,1,
Thai Eggplant,Thai_Eggplant.jpg,train,60170371-vietnamese-eggplant-or-yellow-berried-nightshade-or-solanum-macrocarpon-fruit-in-the-garden_jpg.rf.6f11f321ee9d40afd3212c08f2ef08f2.jpg,640,640,0.748,2,
Thyme,Thyme.jpg,train,Thyme32_jpg.rf.e203d8460e0c52e79ada9259170dcb6a.jpg,640,640,0.94,1,
Ti,Ti.jpg,train,Ti42_jpg.rf.83ca0fa30b38849c2c8a29a2bc744cc7.jpg,640,640,0.997,1,
Tinospora cordifolia,Tinospora_Cordifolia.jpg,train,2023_06_22_11_11_IMG_5867_JPG_jpg.rf.25732ed4793cf444d133633f20f2bd60.jpg,640,640,0.592,1,
Triphala,Triphala.jpg,train,triphala-ayurvedic-fruits-thumb-732x549_jpg.rf.4c39d9d58bcdd9216c486c25f42a7b6f.jpg,640,640,0.167,6,
Turmeric,Turmeric.jpg,valid,istockphoto-1366454095-612x612_jpg.rf.d1af4058ce6b2d19ebab7d8f50436fd9.jpg,640,640,0.1,5,Corrected: original top pick showed an unrelated tree; swapped to a verified turmeric-leaf image.
Turpeth,Turpeth.jpg,test,e58944c905cd7f0c9045cfab68b8501971ec6633_jpg.rf.751ffc6e8ee71cd88f113c490e3dc372.jpg,640,640,0.674,2,
Utranajutuka,Utranajutuka.jpg,test,Fruits-of-Pergularia-daemia_png.rf.f798d703306405308c889ad9ea90dcc6.jpg,640,640,0.841,3,
Vilvam Tree,Vilvam_Tree.jpg,valid,Vilvam-Tree-Flower_jpg.rf.a8e9e04b219f1d8828a7660b78e46c74.jpg,640,640,0.467,3,
Visadodi,Visadodi.jpg,valid,download-1-_jpg.rf.71a2cebb3e91e264702f9edca02b7841.jpg,640,640,0.513,1,
Wood Rose,Wood_Rose.jpg,train,a4d785486161498453b530106d75fe5dd4427114_jpg.rf.b5207fc984f62fc32aecdce3f864e185.jpg,640,640,0.541,1,
Wormwood,Wormwood.jpg,train,images-2-_jpeg.rf.a851fc472fbfaaf30468640020d3fc4b.jpg,640,640,0.688,5,
Yam,Yam.jpg,train,istockphoto-1178731911-612x612_jpg.rf.892755e66e7efdff1e2d30cf3531fdf7.jpg,640,640,0.826,3,
acerifolia,Acerifolia.jpg,train,Acerifolia-124-_png.rf.cd9cf8c1b3fffb188585c42870b5b970.jpg,640,640,0.355,2,
aestivalis,Aestivalis.jpg,valid,Aestivalis-11-_png.rf.ed9c2193c38afe3f805d726d8eac3f34.jpg,640,640,0.825,1,
ambrosia,Ambrosia.jpg,train,2882_jpg.rf.ef72632b3dcfd8a7de45c9d28df89977.jpg,640,640,0.894,1,
amurensis,Amurensis.jpg,train,Amurensis-197-_png.rf.4926f6dfc6b23b6f24128c3c67567bfe.jpg,640,640,0.864,1,
cinera,Cinera.jpg,train,Cinera-165-_png.rf.acfcdbfc7276565858a5384950e5d7c5.jpg,640,640,0.836,1,
coscinium fenestratum,Coscinium_Fenestratum.jpg,train,42_jpg.rf.1f37e1c7b3eeb0728a3400c2866ac0f6.jpg,640,640,0.333,2,
hygrophila auriculat,Hygrophila_Auriculat.jpg,valid,16_jpg.rf.6e20348fb377b884fc898dc247f9cde7.jpg,640,640,0.447,2,
labrusca,Labrusca.jpg,train,Labrusca-181-_png.rf.f800c72f06540fdf02ee1373a5c8f934.jpg,640,640,0.866,1,
luotuoci,Luotuoci.jpg,train,2-38-_jpg.rf.6c75c0655d3c18983b7bef5624947b2e.jpg,640,640,0.883,1,
neem,Neem.jpg,train,240_F_189904245_yGObCYljnM1NWNrbMPww2zftN6SaQvHE_jpg.rf.c32b5dcfeec5544ef8bda1542648419b.jpg,640,640,0.957,1,
riparia,Riparia.jpg,valid,Riparia-491-_png.rf.ff4b1a5744b177248ea136171139d81a.jpg,640,640,0.836,1,
rupestris,Rupestris.jpg,train,Rupestris-64-_png.rf.a4a272d59690b32bd4a73f37ceb276f5.jpg,640,640,0.43,2,
shaji,Shaji.jpg,train,502_jpg.rf.a8ab6328dc82a1ad1aec1d12bb047a2a.jpg,640,640,0.739,1,
sp,Sp.jpg,train,Sp-25-_png.rf.3e1981c29061d3e57e37aa6e8b3530ec.jpg,640,640,0.824,1,
syzygium cumin -L.- Skeel,Syzygium_Cumin_L_Skeel.jpg,train,44_jpg.rf.c68c76fb55de0f140a7f97f226c19790.jpg,640,640,0.315,2,
vana_tulsi,Vana_Tulsi.jpg,train,vana_tulsi_9_jpeg.rf.1da02277c131ea254f562d36c1ab11c3.jpg,640,640,0.087,4,
vulpina,Vulpina.jpg,train,Vulpina-56-_png.rf.fce15c2697d94e4c9084efaa8f2d42aa.jpg,640,640,0.373,2,
zhumaocai,Zhumaocai.jpg,train,1047_jpg.rf.52559ab80c91dcb335ba17b48fbf8b8d.jpg,640,640,0.883,1,
